ID,NAME,TYPE,ADDRESS,CITY,STATE,ZIP,CONTACT,PHONE,NOTES,ACTIVE,,,,,,,,,,,,
161,Trader Joe\s Edgewater,donor,715 River Road,Edgewater,NJ,07020, Ashley Courtney- Captain , 201-945-5932 ,  ,1)     ,,,,,,,,,,,,
162,Trader Joe\s Clifton,donor,259 Allwood Road,Clifton,NJ,07012, Dave Scherer -Captain , 973-777-5020 ,  ,1)     ,,,,,,,,,,,,
163,Trader Joe\s Millburn,donor,187 Millburn Avenue,Millburn,NJ,07041, Mark Sorhage-Captain , 973-218-0912 ,  ,1)     ,,,,,,,,,,,,
164,Trader Joe\s Paramus,donor,404 North State Road 17,Paramus,NJ,07652, Andrew Antonik- Captain , 201-265-9624 ,  ,1)     ,,,,,,,,,,,,
165,Trader Joe\s Wayne,donor,1172 Hamburg Turnpike,Wayne,NJ,07470, Todd Clutterbuck- Captain , 973-692-0050 ,  ,1)     ,,,,,,,,,,,,
166,Trader Joe\s Westwood,donor,20 Irvington Street,Westwood,NJ,07675, Mary Fryman - Captain , 201-263-0134 ,  ,1)     ,,,,,,,,,,,,
167,UBS Restaurant Associates,donor,"1000 Harborside Financial Center, 2nd Floor", Jersey City ,NJ,07311,Jenn CollazoDirector Food and Conference Services, ,  ,0)     ,,,,,,,,,,,,
168,Vince Lombardi Rest Stop,donor,Mile marker 116 NJ TPKE,Ridgefield,NJ,07657, Sue Feliberty , 201-943-1171 ,  ,1)     ,,,,,,,,,,,,
169,Westmount Country Club,donor,728 Rifle Camp Road,Woodland Park,NJ,07424, Chef Dennis King , 973-256-2700 ,NULL,1)     ,,,,,,,,,,,,
170,Whitson\s Culinary Group,donor,830 Bond Street,Elizabeth,NJ,07201, Mike Fehnel-General Mgr , 908-251-5575 ,  ,0)     ,,,,,,,,,,,,
171,Wine & Spirit World,donor,626 North Maple Avenue,Ho-Ho-Kus,NJ,07423, Chuck Russo , 201-444-2033 ,NULL,1)     ,,,,,,,,,,,,
172,Whole Foods Edgewater,donor,905 River Road,Edgewater,NJ,07020, Jose Navas- Store Team Leader , 201-941-4000 , Go to receiving ,1)     ,,,,,,,,,,,,
173,Whole Foods Milburn,donor,2245 Springfield Avenue,Vauxhall,NJ,07088, Timothy Henderson-Marketing Team Leader , 908-688-1455 ,  ,0)     ,,,,,,,,,,,,
174,Whole Foods Paramus,donor,300 Bergen Town Center,Paramus,NJ,07652, Paul Koffa- Store Team Leader , 201-226-1244 , Keenan King Rec Mgr ,1)     ,,,,,,,,,,,,
175,Whole Foods Ridgewood,donor,44 Godwin Avenue,Ridgewood,NJ,07450, Ann Carideo- Store Team Leader , 201-670-0383 , Vannie shift leader\r\nJaquil Rec Mgr\r\nHave Carlos go to customer svc if Rec does not open door when ring bell... don\ t just leave ,1)     ,,,,,,,,,,,,
176,Whole Foods West Orange,donor,235 Prospect Avenue,West Orange,NJ,07052, Jose Navarro-Store Team Leader , 973-669-3196 , Anthony Rec Mgr ,1)     ,,,,,,,,,,,,
177,Evangelic Pentacostal Church,recipient,40-07 Broadway Ave,Union City,NJ,07087, Karla Salinas , 201-926-0474 ,  ,1)     ,,,,,,,,,,,,
178,Food Basics North Bergen,donor,1425 Kennedy Blvd,North Bergen,NJ,07047, Raja , 201-864-9300 ,  ,0)     ,,,,,,,,,,,,
179,St. Lucy\s,recipient,619 Grove Street,Jersey City,NJ,07310, Joe , 201-656-7201 , Go into back rear gate off 16th Street\r\nRing bell ,1)     ,,,,,,,,,,,,
180,Let\s Celebrate,recipient,48 Fairview Ave.,Jersey City,NJ,07304, Angelique Williams , 201-443-5438 ,  ,1)     ,,,,,,,,,,,,
181,Grace Apostolic Church,recipient,162 Ocean Ave,Jersey City,NJ,07305, Stenell Wilson , 908-265-3604 , Delivery to be made around the corner\r\n104 Pearsall Avenue ,1)     ,,,,,,,,,,,,
182,Faith Temple Baptist Church,recipient,678 Ocean Avenue,Jersey City,NJ,07305, Vanessa Black , 201-589-8114 , Vanessa Black is temporary contact. ,1)     ,,,,,,,,,,,,
183,United Methodist Church,recipient,237 Park Avenue,East Orange,NJ,07017, Audrey , 973-780-7301 , Or Corinne 862-205-9911 ,1),,,,,,,,,,,,
184,"Pathmark G,  Jersey City", donor , 420 Grand Street , Jersey City ,NJ,07302, Ken Rowe ,  , Anytime after 10am ,0)     ,,,,,,,,,,,,
185,PERC,recipient,108 36th Street,Union City,NJ,07087, Matt , 201-348-8150 , extension 14 ,1)     ,,,,,,,,,,,,
186,Greater Life Community Outreach Center,recipient,272 Chancellor Avenue,Newark,NJ,07112, Scott Davis , 973-907-6111 , Office number\r\n973-923-2264 x3 ,1)     ,,,,,,,,,,,,
187,Solid Rock Baptist Church,recipient,644 Chancellor Avenue,Irvington,NJ,07111, Deacon Henderson , 732-742-1514 ,  ,1)     ,,,,,,,,,,,,
188,Miracles Ground,recipient,189 Broad Street,Newark,NJ,07104, Nicolas , 973-441-8270 ,  ,0)     ,,,,,,,,,,,,
189,Salvation Army Union City,recipient,515 43rd Street,Union City,NJ,07087, Lieutenant Giovanni , 718-541-4083 , Parking lot busy between 10am-1pm\r\nCall Lieutenant for special deliveries\r\nvolunteers available until 5pm ,1)     ,,,,,,,,,,,,
190,The Hoboken Shelter,recipient,300 Bloomfield Avenue,Hoboken,NJ,07030, Jacyln , 347-731-0840 , Loading zone happening soon on Bloomfield\r\nFeeds 500 per day.\r\nLooking for salad and produce. ,1)     ,,,,,,,,,,,,
191,Campus Kitchen,recipient,39 Tuers Avenue,Jersey City,NJ,07306, Erich Sekel , 201-761-7395 , On St. Peter\ s University campus ,1)     ,,,,,,,,,,,,
192,Morning Star,recipient,7 Bragaw Ave,Newark,NJ,07112, Kevin Greenwood , 973-900-1387 ,  ,1)     ,,,,,,,,,,,,
193,Thessalonians Community Outreach,recipient,409-B Ocean Avenue,Jersey City,NJ,07305, Betty Martin , 347-282-3065 , Third and fourth Thursday of each month ,1)     ,,,,,,,,,,,,
194,West Ward Civil Development Program,recipient,107 Roseville Ave,Newark,NJ,07107, Loucinda  Brown , , Deliver to back of building on 7th ave ,0)     ,,,,,,,,,,,,
195,HelloFresh,donor,60 Lister Ave,Newark,NJ, 07105, Neville Holder-Warehouse Operations Manager , 201-887-7839 , Benjamin Watson-Director of Operations ,1)     ,,,,,,,,,,,,
196,Ironbound Community Corporation,recipient,29 Cortland Street,Newark,NJ,07105, Brandy Hannah-Barnes , 973-344-5949 ,"Or ask for Petra, Alexis or Emily",1),,,,,,,,,,,,
197,The Good Neighbor Baptist Church,recipient,100 Chancellor Avenue,Newark,NJ,07112, Reverend Rountree , 862-754-1121 , 3rd Friday of the month ,1)     ,,,,,,,,,,,,
198,Bethel Assembly of God,recipient,580 Mount Prospect Avenue,Newark,NJ,07104, Lisa Pastori , 862-371-4971 , Church phone 973-484-6660 ,1)     ,,,,,,,,,,,,
199,Beulah Grove Baptist Church,recipient,59-63 Springdale Avenue,Newark,NJ,07107, Tina KPelly , 973-342-1668 , Church number 973-482-4054 ,1)     ,,,,,,,,,,,,
200,Clear Way Missionary Baptist Church,recipient,747 13th Street,Newark,NJ,07103, Sandy Graves , 678-907-8857 , THEY ARE CLOSED FROM 7/25 FOR 6 WEEKS.  WILL UPDATE AS RECEIVE INFORMATION. ,1)     ,,,,,,,,,,,,
201,Good Neighbor Baptist Church,recipient,100 Chancellor Avenue,Newark,NJ,07112, Rev Louise Rountree , 862-754-1121 ,  ,0)     ,,,,,,,,,,,,
202,Goodwill Rescue Mission,recipient,79 University Ave,Newark,NJ,07102, Gerald Manning , 973-621-9560 , extension 103 ,1)     ,,,,,,,,,,,,
203,Marantha Seventh Day Adventist Church,recipient,890 South Orange Avenue,Newark,NJ,07106, Chantal Jochim , 862-224-4651 ,  ,0)     ,,,,,,,,,,,,
204,New Hope Food & Clothing,recipient,106 Sussex Avenue,Newark,NJ,07103, Alycia Green , 973-622-4547 x202 , Starting again on Tuesday 10/16\r\n\r\nEntrance is on Dey Street.  :) ,1)     ,,,,,,,,,,,,
205,United Deliverance Tabernacle,recipient,202 Hawthorne Avenue,Newark,NJ,07112, Deacon Bullock , 908-248-3597 , Church number 973-297-0081\r\nApostle Obery 908-576-1691 ,1)     ,,,,,,,,,,,,
206,Zion Baptist Church,recipient,459 Avon Avenue,Newark,NJ,07108, Debra Williams , 862-279-5370 ,  ,1)     ,,,,,,,,,,,,
207,CAFS Fair Lawn,recipient,2-15 35th Street,Fair Lawn,NJ,07410, Damaris Suarez , 201-359-0124 ,  ,1)     ,,,,,,,,,,,,
208,Zoe\s Place,recipient,58 Farnham Road,Garfield,NJ,07026, Tisha Mender , 201-740-7048 , House number 862-899-7000 ,0)     ,,,,,,,,,,,,
209,United Center,recipient,101 Hudson Street,Hackensack,NJ,07601, Maria Sanjurjo , 201-336-3320 ,  ,1)     ,,,,,,,,,,,,
210,A Village for Humanity,recipient,70 Ellis Avenue,Irvington,NJ,07111, Kaliyah Algram , 973-399-1393 ,  ,0)     ,,,,,,,,,,,,
211,CAFS Clifton,recipient,156 Martin Avenue,Clifton,NJ,07012, Lhercia Pierre-Paul , 201-364-4062 , This is the same people from the Maywood house.  Maywood house closed. ,1)     ,,,,,,,,,,,,
212,CAFS Park Ridge,recipient,124 Pascack Road,Park Ridge,NJ,07656, Linda Anderson , 201-615-9612 ,  ,1)     ,,,,,,,,,,,,
213,Salvation Army Passaic,recipient,550 Main Avenue,Passaic,NJ,07055, Captains Miguel & America Barriera , 302-897-1886 , or 302-897-2288 ,1)     ,,,,,,,,,,,,
214,Good Shepherd Mission,recipient,336 Broadway,Paterson,NJ,07501, Rev Michael Vieira , 973-742-9244 , Jonathan is kitchen guy ,1)     ,,,,,,,,,,,,
215,Hana Mission,recipient,10 Marshall Street,Paterson,NJ,07501, Richard Newton , 973-357-0066 , Rev Hank Kim ,1)     ,,,,,,,,,,,,
216,Hilltop Haven Family Shelter,recipient,36-38 Circle Avenue,Paterson,NJ,07522, Monica Piccirillo , 973-279-2333 , extension 219 ,1)     ,,,,,,,,,,,,
217,Millicent Fenwick House,recipient,369-371 Market Street,Paterson,NJ,07501, Lola Patterson , 973-278-7205 ,  ,1)     ,,,,,,,,,,,,
218,OASIS,recipient,59 Mill Street,Paterson,NJ,07501, Jayne Lovaglin , 973-881-8307 ,  ,1)     ,,,,,,,,,,,,
219,Paterson Police Athletic League,recipient,505 Chamberlain Avenue,Paterson,NJ,07502, Agostino Feola , 973-768-5266 , Or 973-956-7715 ,1)     ,,,,,,,,,,,,
220,St. Augustine Youth Program,recipient,159 Governor Street,Paterson,NJ,07501, Nancy Grier , 973-610-5449 , or 973-610-5449 ,1)     ,,,,,,,,,,,,
221,St. Paul\s Community Development Corp,recipient,451 VanHouten Street,Paterson,NJ,07501, Satira Lord , 973-710-3900 , Extension 424 ,1)     ,,,,,,,,,,,,
222,Geriatric Services  Inc. (Bright Side Manor),recipient,300 Teaneck Road, Teaneck ,NJ,07666, Hugo Medrano ,201-692-1000 ,Bright Side Manor,1)     ,,,,,,,,,,,,
223,Strengthen Our Sisters,recipient,563 Ringwood Avenue,Wanaque,NJ,07465, Betsy Lenke , 973-835-5636 ,  ,1)     ,,,,,,,,,,,,
224,Little Zion Church,recipient,154 Stephens Street,Belleville,NJ,07109, Rev McCain , 973-759-7358 ,  ,0)     ,,,,,,,,,,,,
225,Jewish Family Service (recipient),recipient,110 Main Ave,Passaic,NJ,07055, Lindsey Blashka , 561-445-6140 , Or \r\n973-777-7638 x184\r\npantry number ,1)     ,,,,,,,,,,,,
226,St. Peter\s Haven,recipient,380 Clifton Avenue,Clifton,NJ,07011, Zoe Ventresca , 973-546-3406 ,  ,1)     ,,,,,,,,,,,,
227,Cresskill Food Pantry,recipient,65 East Madison Avenue,Cresskill,NJ,07626, Carolyn Schultz , 201-569-5400 ,  ,0)     ,,,,,,,,,,,,
228,Hidden Treasures Ministries,recipient,26 Washington Street,East Orange,NJ,07017, Michele Riley , 347-608-5782 , 973-676-5100 ,0)     ,,,,,,,,,,,,
229,On Our Own,recipient,179 Main Street,Hackensack,NJ,07601, Nancy Dugan , 201-489-8402 , 2nd Floor ,0)     ,,,,,,,,,,,,
230,Food Hot Issue,donor,5801 West Side Avenue,North Bergen,NJ,07047, Lorraine , 201-496-4195 , Simon Lee gets end of year tax letter ,0)     ,,,,,,,,,,,,
231,Canaan Economic Community Development Corp,recipient,535 East 22nd Street,Paterson,NJ,07514, Ellen Watson , 973-684-7621 ,  ,1)     ,,,,,,,,,,,,
232,Catholic Family Food Pantry (Father English),recipient,435 Main Street,Paterson,NJ,07501, Carlos Roldan , 973-881-0280 , or 973-881-0127 ,1)     ,,,,,,,,,,,,
233,CAFS Hawthorne,recipient,159 Forest Avenue,Hawthorne,NJ,07506, Tanya Gray , 201-851-8758 , house is residential neighborhood ,1)     ,,,,,,,,,,,,
234,CUMAC,recipient,223 Ellison Street,Paterson,NJ,07505, Laura Purdy , 973-742-5518 ,  ,1)     ,,,,,,,,,,,,
235,Hispanic Multipurpose Service Center,recipient,991 East 23rd Street,Paterson,NJ,07513, Lydia Gonzalez , 973-684-3320 , delivering food for the shelter for young women and their children ,1)     ,,,,,,,,,,,,
236,Farmers Produce,donor,459 E. Railway Ave.,Paterson,NJ,07503, Rosa , 973-495-4536 ,  ,0)     ,,,,,,,,,,,,
237,NJAC - Passaic County Women\s Shelter,recipient,669 14th Avenue,Paterson,NJ,07504, Tanya , 973-881-1450 ,  ,0)     ,,,,,,,,,,,,
238,Key Foods Paterson,donor,465 Getty Avenue,Paterson,NJ,07503, Carlos ,  ,  ,0)     ,,,,,,,,,,,,
239,Tallman Bible Church,recipient,280 Route 59,Tallman,NY,10982, Pam Bove , 201-677-0669 ,"11/14, 11/25, 12,19",0)     , , ,,,,,,,,,,
240,Fine Fair  Belleville  ,donor,414 Main Street, Belleville ,NJ,07109, Jose Mendoza , 973-450-4990 ,,0)     ,,,,,,,,,,,,
241,Zion Hill Baptist Church (Nov 22nd),recipient,152 Osborne Terrace,Newark,NJ,07112, Althea Graves , 908-937-7174 , Oct 18 & 25\r\nNov 22\r\nDec 20 & 27\r\n\r\nThird and Fourth Fridays of the month\r\n(They serve on Saturdays) ,1)     ,,,,,,,,,,,,
242,Iglesia Jehova,recipient,157 Atlantic Street,Paterson,NJ,07503, Rev  Jesus Sevilla ,973-64107,,1)     ,,,,,,,,,,,,
243,Key Foods Glen Rock,donor,937 Lincoln Ave,Glen Rock,NJ,07452, GM Mael Montedeoca , 201-345-2261 ,  ,0)     ,,,,,,,,,,,,
244,Food Basic Passaic,donor,414 Van Houten Avenue,Passaic,NJ,07055, Jesus Perez , 973-777-1018 ,  ,0)     ,,,,,,,,,,,,
245,Helping Hand Food Pantry (AME William Chapel),recipient,133 Myrtle Avenue,Passaic,NJ,07055, Marva Stowe , 973-472-3256 ,  ,1)     ,,,,,,,,,,,,
246,Shalom Pantry (Ministerio Restauracion Cristiana),recipient,89 3rd Avenue,Hawthorne,NJ,07506, Isobel Calis , 973-777-4338 ,  ,1)     ,,,,,,,,,,,,
247,NJ Correction Milicent Fenwick House (CADC),recipient,369-71 Market Street,Paterson,NJ,07501, Debra Reid , 973-278-7205 ,  ,1)     ,,,,,,,,,,,,
248,Love of Jesus Family Church,recipient,385 Broadway,Paterson,NJ,07501, x , 973-742-6718 ,  ,1)     ,,,,,,,,,,,,
249,Community Baptist Church,recipient,505 Chamberlain Avenue,Paterson,NJ,07502, Edith McFadden , 973-341-3897 , Using Paterson Police Athletic League space temporarily. ,1)     ,,,,,,,,,,,,
250,Passion Church,recipient,593 Ringwood Ave,Wanaque,NJ,07465, Christine Brown , 973-879-0096 , Every Wednesday ,1)     ,,,,,,,,,,,,
251,First Reformed Church (Dec 20th),recipient,61 Main Street,Little Falls,NJ,07424, Pastor Emily , 973-785-1260 ,"Third Friday of the month.\r\nMeat, bread and produce",1)     ,,,,,,,,,,,,
252,St. Agnes,recipient,65 Union Avenue,Little Falls,NJ,07424, Patrick Keating , 973-803-0587 ,  ,1)     ,,,,,,,,,,,,
253,Trinity of God Church,recipient,160 Passaic Ave,Passaic,NJ,07055, Debbie Seminierio , 973-670-9089 , Deliveries vary.  Usually 1st Friday of each month ,0)     ,,,,,,,,,,,,
254,Wafa Organization,recipient,1009 Valley Rd,Wayne,NJ,07470, Wafaa Saad , 973-766-2406 ,  ,1)     ,,,,,,,,,,,,
255,First AME Zion (Hope for Ex-Offenders),recipient,329 Ellison Street,Paterson,NJ,07501, Rev Carl Phipps , 201-310-8110 ,  ,1)     ,,,,,,,,,,,,
256,Star of Hope,recipient,34 Broadway Street,Paterson,NJ,07505, James Ruffin , 973-742-1220 x20 , Only deliver the last Thursday every month.  Call before you go! ,0)     ,,,,,,,,,,,,
257,Key Foods Fairview,donor,288 Bergen Blvd,Fairview,NJ,07022, Lou Galarza , 201-945-5255 ,  ,0)     ,,,,,,,,,,,,
258,Bright Side Manor,recipient,300 Teaneck Road,Teaneck,NJ,07666, Hugo , 201-446-4472 ,  ,1)     ,,,,,,,,,,,,
259,St. Cecelia\s Church,recipient,55 Denarest Avenue,Englewood,NJ,07631, Bob , 201-265-7943 , Open 9am to 1pm\r\nOnly bread and non-perishables ,0)     ,,,,,,,,,,,,
260,New Light Baptist (Nov 18th),recipient,89 Dewey Street,Bloomfield,NJ,07003, Gail Edwards , 862-202-9950 , Third Monday of the month.\r\nChurch # 973-338-5888 ,1)     ,,,,,,,,,,,,
293,Bruno Ravioli,donor,174 Union Street,Hackensack,NJ,07601, Jim Pulliatte-Owner , 201-240-9908 ,  ,1)     ,,,,,,,,,,,,
261,Pathmark Newark (B),donor,167 Bergen Street,Newark,NJ,07103, Pete Hoadley , 973-242-2510 ,  ,0)     ,,,,,,,,,,,,
262,Bone Fish Grill,donor,601 From Road,Paramus,NJ,07652, Joe Cruz- Managing Partner , 201-261-2355 , Anytime after 9am ,0),,,,,,,,,,,,
263, Chipotle GSP , donor , Garden State Plaza , Paramus ,NJ,07652, Angel Mestre , 201-43-1388 , Door 14\r\nAfter 9am ,0)     ,,,,,,,,,,,,
264,Chipotle Paramus,donor,81 Route 4 West,Paramus,NJ,07652, Mynor Mendizalbal , 201-556-0180 ,  ,0)     ,,,,,,,,,,,,
265,Straight & Narrow (nothing on Nov 11),recipient,390 Straight Street,Paterson,NJ,07501, Gloria Price , 973-405-6675 , Passaic location closed\r\ngo to back door of 390 Straight Street. ,1)     ,,,,,,,,,,,,
266,United Passaic Organization,recipient,112 Washington Place,Passaic,NJ,07094, Debra Hansen , 973-472-3611 , Debra\ s cell phone is 862-414-5626 ,1)     ,,,,,,,,,,,,
267,Restaurant Associates @ Ernst & Young Secaucus,donor,200 Plaza Drive,Secaucus,NJ,07094, Jessica Perez - Director of Food Services , 201-872-2200 ,  ,0)     ,,,,,,,,,,,,
268,Chipotle East Rutherford,donor,40 Route 17 North,East Rutherford,NJ,07073, Jesus Santos , 201-549-5302 ,  ,0)     ,,,,,,,,,,,,
269,ShopRite Wallington,donor,375 Paterson Avenue,Wallington,NJ,07057, Sue Giordano- Store Manager , 201-508-8000 , Joe Rec Mgr\r\nRudy Produce Mgr ,1)     ,,,,,,,,,,,,
270,Mount Moriah (ON HOLD),recipient,11 Tulip Street,Passaic,NJ,07055, Taisha , 862-218-4518 , CLOSED FEBRUARY AND MARCH 2019 ,1)     ,,,,,,,,,,,,
271,Well of Hope,recipient,207 Broadway,Paterson,NJ,07501, Jody McClinton , 973-23-0700 , extension 23\r\n\r\nAcross the street from White Castle ,0)     ,,,,,,,,,,,,
272,New St. Mark Church,recipient,100 Palisade Ave,Westwood,NJ,07675, Jon Givins , 973-919-3661 , 201-666-0348\r\n201-722-8879 ,0)     ,,,,,,,,,,,,
273,Community Outreach Services,recipient,199 6th Avenue,Paterson,NJ,07524, Rev Wayne Brown , 973-609-4478 ,  ,1)     ,,,,,,,,,,,,
274,Rhema Worship Center,recipient,Carver Park (brown building),Hackensack,NJ,07601, Pastor Holly , 201-741-0696 , Between 1st and 2nd Street\r\nEnter on Clay Street ,1)     ,,,,,,,,,,,,
275,Seventh Day Adventist of Montclair (on hold),recipient,15 Elmwood Avenue,Montclair,NJ,07042, Natalee Nelson , 646-436-6265 , Call ONE HOUR before you will get there!! ,1)     ,,,,,,,,,,,,
276,The Two of You,recipient,67 Rose Terrace,Newark,NJ,07108, Regina , 201-618-4857 , Call to ask if she wants a delivery ,0)     ,,,,,,,,,,,,
277,The Little Zion UAME Church (Nov  14th & 21st),recipient,154 Stephen Street,Belleville,NJ,07109, Clarice or Josephine , 973-759-7358 , Thursdays \r\n2nd and 4th week each month (except for Nov)\r\n\r\nMs. Edgar 973-868-0240 ,1)     ,,,,,,,,,,,,
278,New Milford Senior Center,recipient,275 River Road,New Milford,NJ,07646, x , 201-599-7565 ,"Fruit, pastries and bread",1)     ,,,,,,,,,,,,
279,Sharp USA (Sodhexo),donor,100 Paragon Drive,Montvale,NJ,07645, Alecia Mastellone- Food Service Manager -Sodhexo @ Sharp , 201-529-8410 ,After 2pm - go to loading dock- ring bell\r\nin cafeteia - Alecia Mastellone ,1)     ,,,,,,,,,,,,
280,True Witness Church (Nov 22nd),recipient,234 Godwin Avenue,Paterson,NJ,07501, Barbara Gilbert , 862-202-5963 , 4th Fridays\r\nBarbara\ s Cell Phone 862-295-9698\r\nBarbara\ s email bbggilbert@yahoo.com ,1)     ,,,,,,,,,,,,
281,ABC,donor,1 Main,Clifton,NJ,07014, x , x ,  ,0)     ,,,,,,,,,,,,
282,Iron Horse,donor,20 Washington Ave,Westwood,NJ,07675,  ,201-666-9682,  ,0)     ,,,,,,,,,,,,
283,Nursery Stock 2Go,donor,125 River Drive,Passaic,NJ,07059, Rosa Huitzitzilin , 973-883-6545 , 1 watermelomN bin of sugar pumpkins for cooking it\r\n\r\nBin will be on a pallet ,0)     ,,,,,,,,,,,,
284,St.Johns Cathedral,donor,353 East Clinton Ave,Tenafly,NJ,07670, Andy Georgiou , 201-567-5072 ,  ,0)     ,,,,,,,,,,,,
285,Elizabeth Morrow School,donor,435 Lydecker Street,Englewood,NJ,07631,, 201-568-5566 ,  ,1)     ,,,,,,,,,,,,
286,Pepsi Piscataway,donor,2200 New Brunswick Ave,Piscataway Township,NJ,08854, Damien Jackson-Supply Chain Associate Manager , 732-424-3000 ,  ,1)     ,,,,,,,,,,,,
287,A&P Corporate Office,donor,2 Paragon Drive,Montvale,NJ,07645, Sue Voelkner ,  ,  ,0)     ,,,,,,,,,,,,
288,Lucille Francisco,donor,19 Elm St,Tenafly,NJ,07670,  , 201-568-0858 ,  ,1)     ,,,,,,,,,,,,
289,Charles Severino,donor,112 West Grove,Bogota,NJ,07603, Charles Severino , 201-723-4658 , 1 turkey ,0)     ,,,,,,,,,,,,
290,Salvation Army Paterson,recipient,31 Van Houten Street,Paterson,NJ,07505,  , 973-742-1126 ,  ,0)     ,,,,,,,,,,,,
291,The Childrens Place,donor,500 Plaza Drive,Secaucus,NJ,07094, Anissa Kurtz , 201-453-7745 ,  ,1)     ,,,,,,,,,,,,
292,Demarest Middle School,donor,568 Piermont Rd,Demarest,NJ,07627, Ms.Corinne Conti , 732-687-8043 ,  ,1)     ,,,,,,,,,,,,
294,General Dairy Deli Inc.,donor,155 Broad St,Carlstadt,NJ,07072,  ,  ,  ,0)     ,,,,,,,,,,,,
295,Stumptown Coffee Roasters Melrose Storage,donor,400 Kennedy Drive,Sayerville,NJ,07676, Jeff Flakker Ops at Melrose , 800-352-5571 ,"STUMPTOWN CONTACT Michael Naideau\r\n100 SE Salmon St\r\nPORTLAND,OR 97214",1)     ,,,,,,,,,,,,
296,ShopRite Paulison,donor,503 Paulison Ave,Passaic,NJ,07055, Rafael Cuellar- Owner , 973-471-0868 , non-Inserra store ,1)     ,,,,,,,,,,,,
297,Greta Corbitt,donor,311 Murray Ave,Englewood,NJ,07631,  ,  , Bacon ,1)     ,,,,,,,,,,,,
298,Rockland Community College,donor,145 College Road,Suffern,NY,10901,  ,  , Tax letter goes to Rebecca Rund US Gymnastics Development Center II Parents Association 6 Leighton Place Mahwah Nj 07430 ,0)     ,,,,,,,,,,,,
299,Alkazone,donor,200 South Newman Street,Hackensack,NJ,07601, Johan Bae Sales and Product Mgr , 201-880-7966 ,  ,0)     ,,,,,,,,,,,,
300,Eclipse Lodge #259 F&AM,donor,169 Park Ave,Rutherford,NJ,07070, Chris White , 201-575-9657 ,  ,1)     ,,,,,,,,,,,,
402,Finlandia Cheese Inc.,donor,2001 Route 46 East Suite 303,Parsippany,NJ,07054, Kristine Lukachyk-Customer Service Mgr , 973-404-1403 ,"Pickup at:\r\n Halls Warehouse \r\n501 kentile Road\r\nSouth plainfield, NJ  07080",1)     ,,,,,,,,,,,,
535,East Brook Middle School,donor,190 Spring Valley Road,Paramus,NJ,07652,"Giovanni Aliano, Teacher",  973-632-9588  ,  Service Day 5/17  , 1) ,,,,,,,,,,,,
301,Murrays Chicken care of Great American Foods,donor,50 Avenue L,Newark,NJ,07105,  , 973-589-6363 , Dean Koplik\r\nMURRAY\ S Chicken\r\n5190 Main Street\r\nSouth Fallsburg NY 12779 ,1)     ,,,,,,,,,,,,
302,WOW! Nutrition (US) LLC,donor,120 North b Central Ave suite 2S,Ramsey,NJ,07446, Jean Savage Marketing Mgr , 201-962-9241 ,  ,0)     ,,,,,,,,,,,,
303,Foodtown Old Tappan,donor,216 Old Tappan Road,Old Tappan,NJ,07675, John Estevez-Owner , 201-497-6739 ,  ,0)     ,,,,,,,,,,,,
304,Darlene Piserchia,donor,322 McKinley Blvd,Paramus,NJ,07652,  , 201-666-1225 ,  ,0)     ,,,,,,,,,,,,
305,Computershare,donor,480 Washington Blvd.,Jersey City,NJ,07310, Samantha Willis , 201-680-4046 , Holiday non-perishable food drive ,1)     ,,,,,,,,,,,,
306,Dressbarn Corporate,donor,933 MacArthur,Mahwah,NJ,07430, Theresa Ruscillo , 551-777-6608 , Chef Luke office phone 551-777-6071 ,1)     ,,,,,,,,,,,,
307,Lipari Sausage,donor,220 6th Ave,Hawthorne,NJ,07506, Joe Manganella Owner ,  ,  ,0)     ,,,,,,,,,,,,
308,Jewish Family Food Pantry (donor),donor,1 Katherine Avenue,Passaic,NJ,07055,  ,  , Use this one when they donate product to us.\r\nThanks!! ,0)     ,,,,,,,,,,,,
309,Preakness Hills Country Club,donor,1050 Ratzer Road,Wayne,NJ,07470, Chef Chris Passaro , 201-232-7112 , Call Chris when on way ,1)     ,,,,,,,,,,,,
310,Holly Foods LLC,donor,po box 304,Midland Park,NJ,07432, Paul Holly , 551-574-0177 ,  ,0)     ,,,,,,,,,,,,
396,HelloFresh Corporate,donor,40 West 25th St. 7th Floor,New York, NY,10010, Kim Strauss -Public Relations ,  , Kim Strauss Public Relations Mgr ,1)     ,,,,,,,,,,,,
311,Stop and Shop NYM,donor,287 Bowman Ave 2nd Floor,Purchase, NY,10577,"Cindy Carrasquilla- Manager,  Public Relations & Community Relations ", 914-251-2806 ,  ,1)     ,,,,,,,,,,,,
379,St. Elizabeth\s Episcopal Church,donor,169 Fairmount Rd.,Ridgewood,NJ,07450, Anne Dowling , 201-444-2299 ,"Put 212 California Street in GPS\r\nThis is the back parking lot\r\nDrive thru stone archway,  go to double glass door. \r\nOffice is on left.,  go to double glass door. \r\nOffice is on left. ",1)     ,,,,,,,,,,,,
312,Le Bon Choix,donor,11 Godwin Ave,Ridgewood,NJ,07450, Jeff Romano- Owner , 201-689-0400 ,  ,1)     ,,,,,,,,,,,,
313,Sweet Love and Cake,donor,216 Rock Road,Glen Rock,NJ,07446, Nicole Morano- Owner , 201-857-0279 ,  ,1)     ,,,,,,,,,,,,
